leader_identity,leader_name,sender_name,land_count,n_triggers,land_rate
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,syncro-fra,1,35,0.0286
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,STSS Validator,astralane-fra,14,35,0.4
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,STSS Validator,astralane-quic-fra,9,35,0.2571
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,STSS Validator,0slot-de1,2,35,0.0571
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,STSS Validator,blockrazor,1,35,0.0286
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,nextblock-quic-fra,10,32,0.3125
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,nozomi-fra,4,32,0.125
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,triton-fra,4,32,0.125
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,helius-fra,3,32,0.0938
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,allenhark-quic-fra,2,32,0.0625
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,helius-dual,2,32,0.0625
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,0slot-de1,1,32,0.0312
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,Ghost,blockrazor,1,32,0.0312
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,nextblock-quic-fra,9,32,0.2812
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,0slot-de1,5,32,0.1562
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,triton-fra,4,32,0.125
5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,allenhark-quic-fra,3,32,0.0938
