trigger_id,slot,tick,leader_identity,leader_name,sv_continent,sv_country,n_senderror,n_unknownpending
20260610-164405#108952143159,425594309,55,pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,,Europe,Netherlands,2,15
20260610-164405#108952144159,425594313,31,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,,Europe,Netherlands,3,14
20260610-164405#108952146213,425594321,37,HW4zorvt6xDwhU36RqjcWNwU8YMj9tiqnAafBKW4cqV,Moise,Asia,Hong Kong S.A.R.,1,16
20260610-164405#108952146981,425594324,37,shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,blueshift,Europe,Germany,1,16
20260610-164405#108952166670,425594401,14,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,,Europe,Netherlands,2,15
20260610-164405#108952166961,425594402,49,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,,Europe,Netherlands,0,17
20260610-164405#108952175153,425594434,49,YE11a5nVJtUNqsojkphYuWc7StqBzbCeFH6BjhAAUEV,Mellow Yellow,Asia,Singapore,1,16
20260610-164405#108952214291,425594587,19,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,Coinbase 03,Asia,Japan,3,14
20260610-164405#108952214816,425594589,32,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,3,14
20260610-164405#108952223037,425594621,61,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Haus – Best APY & No Fees,Europe,Germany,3,14
20260610-164405#108952225029,425594629,5,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,StakeBowl,Europe,Germany,3,14
20260610-164405#108952225573,425594631,37,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,StakeBowl,Europe,Germany,3,14
20260610-164405#108952230719,425594651,63,GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,Twinstake,North America,,2,15
20260610-164405#108952230956,425594652,44,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Europe,United Kingdom,2,15
20260610-164405#108952232748,425594659,44,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,1,16
20260610-164405#108952233763,425594663,35,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,2,15
20260610-164405#108952253994,425594742,42,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,Titan Analytics,Asia,Japan,0,17
20260610-164405#108952254210,425594743,2,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,Titan Analytics,Asia,Japan,3,14
20260610-164405#108952283692,425594858,44,GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,Twinstake,North America,,2,15
20260610-164405#108952286006,425594867,54,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Europe,Germany,1,16
20260610-164405#108952286497,425594869,33,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,2,15
20260610-164405#108952286726,425594870,6,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,3,14
20260610-164405#108952287496,425594873,8,32jCuWyy4aJjyv4gd4DSGBHmFU5KUSSfqbmPb9GpMin6,,North America,United States,3,14
20260610-164405#108952297018,425594910,58,AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,,North America,United States,3,14
20260610-164405#108952297275,425594911,59,AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,,North America,United States,2,15
20260610-164405#108952309296,425594958,48,TREEir31FswHK7JZBS5oFQteS72dobi6inpmQha88dA,Tree Validator,Europe,Germany,1,16
20260610-164405#108952321595,425595006,59,DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,Temporal Emerald,Europe,Netherlands,3,14
20260610-164405#108952327434,425595029,10,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,2,15
20260610-164405#108952332051,425595047,19,GEM1N1UE3C8BB8EaaEPrcFvT3iLMVrurknjW5AYjUReR,Gemini,North America,United States,1,16
20260610-164405#108952333831,425595054,7,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,Europe,United Kingdom,2,15
20260610-164405#108952336386,425595064,2,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,2,15
20260610-164405#108952336683,425595065,43,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,2,15
20260610-164405#108952344077,425595094,13,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,2,15
20260610-164405#108952344323,425595095,3,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,3,14
20260610-164405#108952356654,425595143,46,BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,Solana Beach Validator,Europe,Germany,2,15
20260610-164405#108952358707,425595151,51,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,0,17
20260610-164405#108952358960,425595152,48,HwN6eoEe9N3kwHi66hpQDBMFPk6ASQGthWKPX5MZmisp,Solya,Asia,Singapore,2,15
20260610-164405#108952361499,425595162,27,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,North America,United States,0,17
20260610-164405#108952369416,425595193,8,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,Solana Compass 🧭 Solana For The People,Asia,Japan,2,15
20260610-164405#108952370458,425595197,26,7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,Bitcoin Suisse,Europe,Netherlands,3,14
20260610-164405#108952371509,425595201,53,privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,,Europe,Germany,0,17
20260610-164405#108952377638,425595225,38,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,Europe,United Kingdom,2,15
